Name	ID	NumProbes	NumGenes	ROC	Pval	CorrectedPvalue	Same as	GeneMembers
negative regulation of nervous system development	GO:0051961	169	168	0.46285117	0.95148208	1		
regulation of glucose transport	GO:0010827	73	73	0.44372775	0.95171989	1		
MHC class II protein complex	GO:0042613	14	14	0.37168276	0.95178616	1		
cellular component assembly involved in morphogenesis	GO:0010927	144	143	0.45967785	0.95184551	1		
nucleoside biosynthetic process	GO:0009163	97	95	0.45059743	0.95185851	1		
glycosyl compound biosynthetic process	GO:1901659	97	95	0.45059743	0.95185851	1		
cytosolic small ribosomal subunit	GO:0022627	25	25	0.40380408	0.9520284	1		
azole transport	GO:0045117	11	11	0.35502567	0.9520458	1		
endosome	GO:0005768	511	504	0.47825079	0.95207289	1		
myotube differentiation	GO:0014902	38	38	0.42189606	0.95213029	1		
MHC protein complex	GO:0042611	25	25	0.40373602	0.95214582	1		
positive regulation of stress-activated protein kinase signaling cascade	GO:0070304	93	93	0.44995519	0.9522469	1		
nucleoside diphosphate metabolic process	GO:0009132	20	20	0.39220582	0.95242903	1		
regulation of intracellular protein transport	GO:0033157	169	169	0.46274533	0.95244399	1		
platelet-derived growth factor receptor signaling pathway	GO:0048008	23	23	0.39946214	0.95244566	1		
mesenchyme development	GO:0060485	126	126	0.45690192	0.9524776	1		
regulation of mitochondrion organization	GO:0010821	70	69	0.44184708	0.9525198	1		
single organism cell adhesion	GO:0098602	346	345	0.47376754	0.95254629	1		
response to decreased oxygen levels	GO:0036293	207	205	0.46610556	0.95259602	1		
calcium ion import	GO:0070509	13	13	0.36614133	0.95265734	1		
small molecule catabolic process	GO:0044282	216	214	0.46680051	0.95267762	1		
microbody part	GO:0044438	68	68	0.44135208	0.95271902	1	GO:0044439|peroxisomal part, 	
peroxisomal part	GO:0044439	68	68	0.44135208	0.95271902	1	GO:0044438|microbody part, 	
regulation of synaptic transmission, dopaminergic	GO:0032225	12	12	0.3605815	0.95277353	1		
microtubule-based process	GO:0007017	335	335	0.47334962	0.95277812	1		
negative regulation of cell activation	GO:0050866	118	117	0.45509295	0.95319186	1		
negative regulation of neuron apoptotic process	GO:0043524	110	110	0.45366807	0.95329176	1		
filopodium assembly	GO:0046847	20	20	0.39159832	0.95335391	1		
lipid modification	GO:0030258	99	98	0.45089983	0.95339676	1		
regulation of mitochondrial membrane potential	GO:0051881	20	20	0.3914829	0.95352799	1		
regulation of membrane repolarization	GO:0060306	17	17	0.38221717	0.95365315	1		
mitotic cell cycle phase transition	GO:0044772	261	261	0.46970948	0.95368193	1		
protein heterotetramerization	GO:0051290	10	10	0.34638455	0.95373606	1		
negative regulation of myoblast differentiation	GO:0045662	10	10	0.34613563	0.95399965	1		
glial cell differentiation	GO:0010001	108	106	0.45257727	0.95408648	1		
cofactor transport	GO:0051181	20	20	0.3910045	0.95424172	1		
regulation of protein homooligomerization	GO:0032462	11	11	0.35306066	0.954255	1		
chondrocyte development	GO:0002063	14	14	0.36971779	0.95428304	1		
positive regulation of blood pressure	GO:0045777	31	31	0.41237278	0.95433586	1		
establishment of protein localization to plasma membrane	GO:0090002	46	46	0.42802344	0.95435707	1		
positive regulation of phospholipase C activity	GO:0010863	58	57	0.43529954	0.95440396	1		
neural crest cell differentiation	GO:0014033	50	50	0.43091778	0.95444076	1		
respiratory burst	GO:0045730	12	12	0.35911409	0.95448258	1		
alpha-amino acid biosynthetic process	GO:1901607	58	58	0.43580964	0.95452527	1		
negative regulation of blood coagulation	GO:0030195	36	35	0.4172947	0.954782	1	GO:1900047|negative regulation of hemostasis, 	
negative regulation of hemostasis	GO:1900047	36	35	0.4172947	0.954782	1	GO:0030195|negative regulation of blood coagulation, 	
positive regulation of vasculature development	GO:1904018	95	93	0.44916094	0.95482074	1		
positive regulation of organ growth	GO:0046622	28	27	0.40576197	0.95494741	1		
exploration behavior	GO:0035640	13	13	0.3642332	0.95496014	1		
negative regulation of cellular protein localization	GO:1903828	83	83	0.44609393	0.95514281	1		
vesicle localization	GO:0051648	117	117	0.45453199	0.95520518	1		
regulation of triglyceride biosynthetic process	GO:0010866	12	12	0.35840569	0.95528965	1		
nephric duct development	GO:0072176	10	10	0.34488798	0.95529957	1		
alpha-amino acid metabolic process	GO:1901605	197	195	0.46466117	0.95536583	1		
branching morphogenesis of an epithelial tube	GO:0048754	129	128	0.45643981	0.9554816	1		
regulation of nucleocytoplasmic transport	GO:0046822	152	152	0.45996669	0.95560366	1		
cellular response to hypoxia	GO:0071456	75	75	0.4431269	0.95564504	1		
reactive oxygen species biosynthetic process	GO:1903409	20	18	0.38410375	0.95565399	1		
regulation of smooth muscle contraction	GO:0006940	46	46	0.42742755	0.95568023	1		
secondary metabolic process	GO:0019748	33	33	0.41433701	0.95570609	1		
embryonic eye morphogenesis	GO:0048048	26	25	0.40148274	0.95590489	1		
single-organism intracellular transport	GO:1902582	799	793	0.48206041	0.95612005	1		
Golgi apparatus part	GO:0044431	642	640	0.48012584	0.9561336	1		
ERBB signaling pathway	GO:0038127	165	164	0.46131522	0.95613803	1		
lymph vessel development	GO:0001945	17	17	0.38030927	0.95623671	1		
toll-like receptor 2 signaling pathway	GO:0034134	60	60	0.43619552	0.95626366	1		
regulation of canonical Wnt signaling pathway	GO:0060828	122	122	0.45514977	0.95633521	1		
chondroitin sulfate proteoglycan biosynthetic process	GO:0050650	23	23	0.39681244	0.95664667	1		
mitotic spindle	GO:0072686	21	21	0.39194584	0.95675046	1		
regulation of synaptic transmission, GABAergic	GO:0032228	22	22	0.39440842	0.95677604	1		
branching involved in salivary gland morphogenesis	GO:0060445	16	16	0.37606666	0.95695419	1		
renal tubule development	GO:0061326	70	69	0.44014719	0.95715664	1		
negative regulation of intracellular transport	GO:0032387	86	85	0.44602127	0.95723276	1		
cell activation	GO:0001775	514	511	0.47768566	0.95728531	1		
regulation of microtubule cytoskeleton organization	GO:0070507	71	71	0.44093004	0.95732241	1		
regulation of protein complex assembly	GO:0043254	180	180	0.46273371	0.95750547	1		
negative regulation of cell death	GO:0060548	647	644	0.48000658	0.95754351	1		
regulation of cellular response to insulin stimulus	GO:1900076	35	35	0.41581713	0.95758579	1		
L-glutamate transport	GO:0015813	15	15	0.37148265	0.95758981	1		
regulation of insulin receptor signaling pathway	GO:0046626	30	30	0.4090724	0.95760884	1		
regulation of cardiac muscle cell differentiation	GO:2000725	13	13	0.36193737	0.95761621	1		
regulation of protein kinase B signaling	GO:0051896	87	87	0.44639334	0.95795693	1		
regulation of DNA damage response, signal transduction by p53 class mediator	GO:0043516	20	20	0.38829658	0.95813116	1		
myofibril assembly	GO:0030239	36	36	0.41668525	0.95815983	1		
positive regulation of angiogenesis	GO:0045766	86	84	0.44537256	0.958175	1		
regulation of protein acetylation	GO:1901983	32	32	0.41161697	0.95820379	1		
regulation of peptidyl-lysine acetylation	GO:2000756	32	32	0.41161697	0.95820379	1		
positive regulation of skeletal muscle tissue development	GO:0048643	15	15	0.37097251	0.95820432	1		
response to oxygen levels	GO:0070482	217	215	0.46566286	0.9584199	1		
response to carbohydrate	GO:0009743	113	112	0.45251941	0.95860126	1		
positive regulation of cardiac muscle tissue development	GO:0055025	24	23	0.39545193	0.9586843	1		
regulation of muscle cell differentiation	GO:0051147	104	104	0.45069158	0.95874929	1		
positive regulation of protein secretion	GO:0050714	124	124	0.4547863	0.95884742	1		
endothelial cell migration	GO:0043542	46	44	0.42427284	0.9588682	1		
transport vesicle	GO:0030133	122	122	0.45440971	0.95888278	1		
regulation of cellular response to growth factor stimulus	GO:0090287	137	137	0.45690108	0.95908536	1		
viral life cycle	GO:0019058	121	121	0.4540994	0.95929498	1		
vacuole	GO:0005773	420	416	0.47498616	0.9594923	1		
outer membrane	GO:0019867	138	137	0.45676241	0.95957361	1		
regulation of protein stability	GO:0031647	95	95	0.44812195	0.95963759	1		
cytoskeleton-dependent intracellular transport	GO:0030705	66	66	0.43771495	0.95987958	1		
macrophage activation involved in immune response	GO:0002281	12	12	0.35409709	0.95995067	1		
positive regulation of cardiac muscle tissue growth	GO:0055023	19	18	0.38077642	0.96004524	1		
mesenchymal cell differentiation	GO:0048762	93	93	0.44735887	0.96024425	1		
regulation of actin filament length	GO:0030832	90	90	0.44643809	0.96040097	1		
placenta blood vessel development	GO:0060674	24	24	0.39645997	0.96043868	1		
muscle cell development	GO:0055001	88	88	0.44581355	0.96046256	1		
signal transduction by protein phosphorylation	GO:0023014	181	180	0.46200284	0.96047433	1		
response to metal ion	GO:0010038	211	211	0.46486235	0.96051345	1		
mitochondrial membrane	GO:0031966	417	413	0.47471521	0.96058564	1		
regulation of interferon-alpha production	GO:0032647	12	12	0.35346206	0.96060596	1		
substrate-independent telencephalic tangential migration	GO:0021826	10	10	0.33929937	0.96077911	1	GO:0021843|substrate-independent telencephalic tangential interneuron migration, 	
substrate-independent telencephalic tangential interneuron migration	GO:0021843	10	10	0.33929937	0.96077911	1	GO:0021826|substrate-independent telencephalic tangential migration, 	
positive regulation of cell growth	GO:0030307	83	83	0.44407928	0.96082366	1		
cellular response to monosaccharide stimulus	GO:0071326	35	35	0.41399646	0.96084731	1	GO:0071331|cellular response to hexose stimulus, 	
cellular response to hexose stimulus	GO:0071331	35	35	0.41399646	0.96084731	1	GO:0071326|cellular response to monosaccharide stimulus, 	
temperature homeostasis	GO:0001659	24	24	0.39615235	0.96088034	1		
response to insecticide	GO:0017085	12	12	0.3531534	0.96092006	1		
purine nucleoside triphosphate metabolic process	GO:0009144	104	103	0.44969839	0.96103666	1		
cellular amino acid catabolic process	GO:0009063	96	95	0.44762474	0.96106956	1		
regulation of cardiac muscle contraction by calcium ion signaling	GO:0010882	15	15	0.36848051	0.96110559	1		
epidermal growth factor receptor signaling pathway	GO:0007173	163	162	0.45977687	0.96119116	1		
cellular response to decreased oxygen levels	GO:0036294	76	76	0.4413838	0.96130362	1		
site of polarized growth	GO:0030427	97	97	0.44803769	0.96143133	1		
positive regulation of histone acetylation	GO:0035066	15	15	0.36814243	0.96148366	1		
regulation of digestive system process	GO:0044058	22	22	0.39109578	0.96149036	1		
growth cone	GO:0030426	94	94	0.44716427	0.96158678	1		
negative regulation of nucleocytoplasmic transport	GO:0046823	55	55	0.43098635	0.96163461	1		
regulation of microtubule-based process	GO:0032886	83	83	0.44376114	0.96166473	1		
serine family amino acid metabolic process	GO:0009069	27	27	0.4014289	0.96186676	1		
negative regulation of cation channel activity	GO:2001258	13	13	0.3579623	0.96191023	1		
positive regulation of Wnt signaling pathway	GO:0030177	67	67	0.43732416	0.9619268	1		
phospholipid dephosphorylation	GO:0046839	17	17	0.3756181	0.96209714	1		
negative regulation of cyclase activity	GO:0031280	22	22	0.39058763	0.96217471	1		
cAMP metabolic process	GO:0046058	25	25	0.39734079	0.96219175	1		
pigment granule organization	GO:0048753	14	14	0.36282088	0.96223524	1		
sperm flagellum	GO:0036126	19	19	0.38222158	0.96224152	1		
retinoic acid receptor signaling pathway	GO:0048384	10	10	0.33757513	0.962354	1		
isoprenoid biosynthetic process	GO:0008299	21	20	0.38506166	0.96241964	1		
cellular response to steroid hormone stimulus	GO:0071383	50	50	0.42719311	0.96251281	1		
cilium morphogenesis	GO:0060271	108	107	0.45013236	0.96254707	1		
regulation of neural precursor cell proliferation	GO:2000177	45	44	0.4223433	0.96262226	1		
endoplasmic reticulum part	GO:0044432	767	766	0.48095154	0.96272853	1		
activation of cysteine-type endopeptidase activity involved in apoptotic process	GO:0006919	68	68	0.4374048	0.96281392	1		
positive regulation of interleukin-1 beta production	GO:0032731	21	21	0.38742695	0.96293812	1		
cell cycle phase transition	GO:0044770	264	264	0.46798919	0.96304569	1		
regulation of phospholipase C activity	GO:1900274	59	58	0.43196726	0.9634013	1		
response to alkaloid	GO:0043279	88	88	0.44471414	0.96341024	1		
developmental pigmentation	GO:0048066	35	35	0.41244072	0.96347119	1		
negative regulation of growth	GO:0045926	189	186	0.46181261	0.96358247	1		
activation of MAPKK activity	GO:0000186	50	49	0.42586144	0.963676	1		
muscle cell migration	GO:0014812	11	11	0.34353922	0.96382767	1		
positive regulation of B cell activation	GO:0050871	47	47	0.42420099	0.96387214	1		
purine ribonucleoside triphosphate metabolic process	GO:0009205	97	96	0.44685974	0.96393638	1		
actin filament organization	GO:0007015	107	106	0.44930722	0.96423402	1		
positive regulation of smooth muscle cell proliferation	GO:0048661	40	40	0.41763503	0.96424803	1		
ATP metabolic process	GO:0046034	86	85	0.44340872	0.96427911	1		
regulation of B cell proliferation	GO:0030888	44	44	0.42137058	0.96440773	1		
response to ammonium ion	GO:0060359	45	45	0.42219653	0.96449898	1		
negative regulation of small GTPase mediated signal transduction	GO:0051058	33	33	0.40904946	0.96469729	1		
forebrain neuron development	GO:0021884	23	23	0.39091865	0.96491995	1		
organonitrogen compound catabolic process	GO:1901565	277	275	0.46819147	0.96499847	1		
response to epinephrine	GO:0071871	10	10	0.33452128	0.96501645	1		
presynaptic active zone	GO:0048786	11	11	0.34219794	0.96503375	1		
positive regulation of I-kappaB kinase/NF-kappaB signaling	GO:0043123	147	147	0.45663276	0.96510167	1		
nitric oxide mediated signal transduction	GO:0007263	15	14	0.35985391	0.96528982	1		
ruffle membrane	GO:0032587	56	56	0.4297706	0.96542231	1		
negative regulation of epithelial cell proliferation	GO:0050680	79	79	0.4407918	0.96551039	1		
epithelium development	GO:0060429	776	772	0.48059774	0.96585921	1		
activation of protein kinase B activity	GO:0032148	16	16	0.36824324	0.96597937	1		
neural nucleus development	GO:0048857	53	51	0.42610242	0.96601752	1		
positive regulation of protein transport	GO:0051222	214	214	0.46369707	0.9661968	1		
positive regulation of acute inflammatory response	GO:0002675	21	21	0.38474946	0.96624782	1		
interstitial matrix	GO:0005614	14	14	0.35883455	0.96629125	1		
ventricular system development	GO:0021591	17	17	0.37171297	0.96647244	1		
negative regulation of transmembrane transport	GO:0034763	30	30	0.40328248	0.96662543	1		
activation of MAPK activity	GO:0000187	109	108	0.44887756	0.96669618	1		
eye morphogenesis	GO:0048592	110	109	0.44907282	0.96679827	1		
respiratory tube development	GO:0030323	141	139	0.45481123	0.96694717	1		
alcohol biosynthetic process	GO:0046165	87	86	0.44253885	0.96719185	1		
kidney epithelium development	GO:0072073	110	108	0.44868641	0.96720173	1		
protein targeting to plasma membrane	GO:0072661	19	19	0.3779198	0.96728084	1		
organelle outer membrane	GO:0031968	132	131	0.45334197	0.96729802	1		
activation of cysteine-type endopeptidase activity	GO:0097202	72	72	0.43717751	0.96729825	1		
positive regulation of digestive system process	GO:0060456	10	10	0.33172849	0.96731408	1		
regulation of long-term neuronal synaptic plasticity	GO:0048169	25	25	0.39350754	0.96733901	1		
cytoplasmic vesicle membrane	GO:0030659	306	305	0.46922561	0.96743927	1		
ephrin receptor signaling pathway	GO:0048013	24	24	0.39113675	0.96755734	1		
inner ear receptor stereocilium organization	GO:0060122	11	11	0.33909588	0.96769699	1		
regulation of Notch signaling pathway	GO:0008593	40	40	0.41551989	0.96773833	1		
endochondral bone morphogenesis	GO:0060350	45	45	0.42025702	0.96787607	1		
glomerulus vasculature development	GO:0072012	16	16	0.36635667	0.96790523	1		
single organismal cell-cell adhesion	GO:0016337	329	328	0.47019092	0.96794323	1		
immune response-regulating cell surface receptor signaling pathway	GO:0002768	250	249	0.46585343	0.96801031	1		
terpenoid metabolic process	GO:0006721	77	76	0.43849236	0.96806843	1		
regulation of appetite	GO:0032098	13	13	0.35151156	0.96811842	1		
chondroitin sulfate biosynthetic process	GO:0030206	20	20	0.38018954	0.96819566	1		
metanephric nephron development	GO:0072210	23	23	0.38798364	0.96852894	1		
cell-matrix adhesion	GO:0007160	88	88	0.44261894	0.96853052	1		
sphingolipid metabolic process	GO:0006665	100	100	0.44611532	0.96861955	1		
vasodilation	GO:0042311	24	24	0.39015313	0.9687512	1		
cellular response to glucagon stimulus	GO:0071377	30	30	0.40160274	0.96892333	1		
alpha-amino acid catabolic process	GO:1901606	76	75	0.43763745	0.96901834	1		
organic acid catabolic process	GO:0016054	166	164	0.45770945	0.96902721	1	GO:0046395|carboxylic acid catabolic process, 	
carboxylic acid catabolic process	GO:0046395	166	164	0.45770945	0.96902721	1	GO:0016054|organic acid catabolic process, 	
regulation of vasoconstriction	GO:0019229	35	35	0.40878112	0.96907505	1		
regulation of calcium ion import	GO:0090279	17	17	0.36917981	0.96908169	1		
metanephros morphogenesis	GO:0003338	17	17	0.36913694	0.96912436	1		
thymus development	GO:0048538	37	37	0.41122861	0.96914486	1		
oxidoreductase complex	GO:1990204	65	65	0.43285397	0.96936314	1		
reactive oxygen species metabolic process	GO:0072593	86	84	0.44081924	0.96953948	1		
positive regulation of cytosolic calcium ion concentration	GO:0007204	135	134	0.45306067	0.96957113	1		
regulation of lipid catabolic process	GO:0050994	37	37	0.41083826	0.96971148	1		
metanephric tubule development	GO:0072170	13	13	0.34938856	0.96996695	1		
glycoprotein metabolic process	GO:0009100	300	300	0.46835939	0.97001551	1		
circadian regulation of gene expression	GO:0032922	19	19	0.3753333	0.97003331	1		
regulation of calcium ion transport into cytosol	GO:0010522	58	58	0.42849704	0.9701497	1		
mitochondrial envelope	GO:0005740	441	437	0.47363572	0.97019338	1		
regulation of blood pressure	GO:0008217	137	134	0.4528315	0.97019584	1		
lytic vacuole	GO:0000323	376	373	0.47151391	0.97022089	1	GO:0005764|lysosome, 	
lysosome	GO:0005764	376	373	0.47151391	0.97022089	1	GO:0000323|lytic vacuole, 	
negative regulation of cytoplasmic transport	GO:1903650	67	67	0.4334005	0.97025281	1		
response to peptide hormone	GO:0043434	304	301	0.46829748	0.97047244	1		
semaphorin-plexin signaling pathway	GO:0071526	15	15	0.35922102	0.97047569	1		
activin receptor signaling pathway	GO:0032924	17	17	0.36773638	0.97049176	1		
cofactor biosynthetic process	GO:0051188	104	102	0.44586235	0.97049416	1		
regulation of wound healing	GO:0061041	82	80	0.43886806	0.97058382	1		
establishment of endothelial barrier	GO:0061028	17	17	0.36744341	0.97077134	1		
phenol-containing compound biosynthetic process	GO:0046189	27	27	0.39472784	0.97084025	1		
immune response-activating cell surface receptor signaling pathway	GO:0002429	144	144	0.45424943	0.97084916	1		
positive regulation of growth	GO:0045927	149	148	0.45485946	0.97086847	1		
renal system vasculature development	GO:0061437	17	17	0.36731121	0.97089678	1	GO:0061440|kidney vasculature development, 	
kidney vasculature development	GO:0061440	17	17	0.36731121	0.97089678	1	GO:0061437|renal system vasculature development, 	
epithelial tube branching involved in lung morphogenesis	GO:0060441	19	19	0.37437735	0.97100074	1		
cation-transporting ATPase complex	GO:0090533	12	12	0.34195053	0.97100976	1		
regulation of carbohydrate catabolic process	GO:0043470	27	27	0.3945759	0.97102004	1	GO:0043471|regulation of cellular carbohydrate catabolic process, 	
regulation of cellular carbohydrate catabolic process	GO:0043471	27	27	0.3945759	0.97102004	1	GO:0043470|regulation of carbohydrate catabolic process, 	
negative regulation of blood pressure	GO:0045776	37	34	0.4058786	0.97122574	1		
positive regulation of cell morphogenesis involved in differentiation	GO:0010770	92	92	0.44266966	0.97125091	1		
response to inorganic substance	GO:0010035	288	288	0.46738764	0.97130434	1		
intracellular receptor signaling pathway	GO:0030522	144	144	0.45407621	0.9713228	1		
regulation of myoblast differentiation	GO:0045661	21	21	0.38015102	0.9713669	1		
G1/S transition of mitotic cell cycle	GO:0000082	141	141	0.45354653	0.9714513	1	GO:0044843|cell cycle G1/S phase transition, 	
cell cycle G1/S phase transition	GO:0044843	141	141	0.45354653	0.9714513	1	GO:0000082|G1/S transition of mitotic cell cycle, 	
'de novo' protein folding	GO:0006458	35	35	0.40691093	0.97165372	1		
ciliary transition zone	GO:0035869	12	12	0.34107515	0.97169733	1		
regulation of protein oligomerization	GO:0032459	23	23	0.38516487	0.97170051	1		
positive regulation of fibroblast proliferation	GO:0048146	38	38	0.41060986	0.97171324	1		
excitatory synapse	GO:0060076	15	15	0.35747196	0.97201608	1		
focal adhesion	GO:0005925	108	108	0.44673141	0.97201812	1		
positive regulation of protein export from nucleus	GO:0046827	13	13	0.34687319	0.97204528	1		
Wnt signaling pathway	GO:0016055	196	194	0.46010021	0.97217136	1		
fatty acid metabolic process	GO:0006631	224	222	0.46266461	0.97218648	1		
nucleoside triphosphate metabolic process	GO:0009141	119	118	0.44893631	0.97222543	1		
mammary gland epithelium development	GO:0061180	52	51	0.42248278	0.97223095	1		
positive regulation of peptide hormone secretion	GO:0090277	51	51	0.42235211	0.97243533	1		
modified amino acid transport	GO:0072337	19	19	0.37272602	0.9726092	1		
regulation of phosphoprotein phosphatase activity	GO:0043666	24	24	0.38674019	0.97261046	1		
negative regulation of G-protein coupled receptor protein signaling pathway	GO:0045744	57	57	0.42635991	0.97273062	1		
dendritic cell differentiation	GO:0097028	23	23	0.3841927	0.97273071	1		
regulation of protein homodimerization activity	GO:0043496	15	15	0.35662577	0.97273693	1		
endothelium development	GO:0003158	64	64	0.43043177	0.97282977	1		
positive regulation of membrane potential	GO:0045838	18	18	0.36897217	0.97286014	1		
endothelial cell differentiation	GO:0045446	50	50	0.42122634	0.97298215	1		
ossification	GO:0001503	168	168	0.45683146	0.97309108	1		
negative regulation of actin filament bundle assembly	GO:0032232	12	12	0.33917259	0.97314498	1		
metanephric nephron epithelium development	GO:0072243	15	15	0.35609134	0.97318418	1		
negative regulation of hormone secretion	GO:0046888	49	49	0.42014399	0.97340966	1		
vesicle membrane	GO:0012506	316	315	0.46820389	0.97356911	1		
natural killer cell differentiation	GO:0001779	12	12	0.33852491	0.97362347	1		
negative regulation of calcium ion transmembrane transporter activity	GO:1901020	14	14	0.35023727	0.97382615	1	GO:1903170|negative regulation of calcium ion transmembrane transport, 	
negative regulation of calcium ion transmembrane transport	GO:1903170	14	14	0.35023727	0.97382615	1	GO:1901020|negative regulation of calcium ion transmembrane transporter activity, 	
phospholipid metabolic process	GO:0006644	240	239	0.46349886	0.97383932	1		
cyclic-nucleotide-mediated signaling	GO:0019935	25	25	0.38782207	0.97389788	1		
regulation of striated muscle cell differentiation	GO:0051153	57	57	0.42560043	0.97395328	1		
cochlea development	GO:0090102	32	32	0.40076524	0.97397067	1		
phospholipase C-activating G-protein coupled receptor signaling pathway	GO:0007200	57	57	0.42551924	0.97408121	1		
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	GO:0000184	83	83	0.43819736	0.97414081	1		
regulation of protein binding	GO:0043393	97	97	0.4427959	0.97416279	1		
camera-type eye morphogenesis	GO:0048593	79	78	0.4361749	0.97429175	1		
positive regulation of developmental growth	GO:0048639	92	91	0.44087791	0.97430771	1		
cardiac muscle tissue morphogenesis	GO:0055008	49	49	0.41951121	0.97433956	1		
single-organism membrane organization	GO:0044802	429	428	0.47241847	0.97445726	1		
immune response-activating signal transduction	GO:0002757	242	242	0.46351911	0.97449316	1		
negative regulation of leukocyte migration	GO:0002686	15	15	0.35447589	0.974499	1		
positive regulation of chemotaxis	GO:0050921	81	81	0.43720227	0.97458732	1		
lamellipodium	GO:0030027	115	115	0.44724004	0.97459236	1		
associative learning	GO:0008306	54	54	0.42303547	0.97476303	1		
regulation of voltage-gated calcium channel activity	GO:1901385	11	11	0.32961859	0.97481572	1		
morphogenesis of a branching structure	GO:0001763	160	159	0.45493908	0.97492683	1		
actin filament-based movement	GO:0030048	54	54	0.42289681	0.9749699	1		
positive regulation of cell adhesion	GO:0045785	264	264	0.46489736	0.97499027	1		
negative regulation of coagulation	GO:0050819	39	38	0.40799796	0.97513622	1		
positive regulation of cGMP biosynthetic process	GO:0030828	16	15	0.35355682	0.97522263	1		
nucleoside monophosphate metabolic process	GO:0009123	165	164	0.45547289	0.97531635	1		
positive regulation of lipid storage	GO:0010884	16	16	0.35806635	0.97533196	1		
cardiac ventricle morphogenesis	GO:0003208	55	55	0.42319051	0.97557603	1		
nucleoside phosphate biosynthetic process	GO:1901293	157	153	0.45380945	0.97557638	1		
cellular amino acid metabolic process	GO:0006520	298	296	0.46663557	0.97560821	1		
cellular response to toxic substance	GO:0097237	11	11	0.32827731	0.97570805	1		
sulfur amino acid metabolic process	GO:0000096	42	42	0.41190085	0.9758795	1		
response to alcohol	GO:0097305	214	214	0.46074272	0.9759431	1		
cardiac chamber morphogenesis	GO:0003206	89	89	0.43930446	0.97604262	1		
cell migration involved in sprouting angiogenesis	GO:0002042	14	13	0.34149212	0.97608759	1		
negative regulation of cell growth	GO:0030308	130	127	0.44908491	0.9761428	1		
primary cilium	GO:0072372	105	105	0.44402494	0.97617733	1		
mechanoreceptor differentiation	GO:0042490	44	44	0.413669	0.9762058	1		
response to pain	GO:0048265	30	30	0.39533058	0.97637626	1		
salivary gland development	GO:0007431	32	32	0.39857951	0.97645103	1		
sphingolipid biosynthetic process	GO:0030148	47	47	0.41627568	0.97645166	1		
striated muscle cell development	GO:0055002	79	79	0.43533553	0.97649133	1		
regulation of acyl-CoA biosynthetic process	GO:0050812	12	12	0.33441618	0.97649567	1		
positive regulation of peptidyl-threonine phosphorylation	GO:0010800	13	13	0.34084285	0.97654034	1		
substantia nigra development	GO:0021762	37	36	0.40428026	0.97655337	1		
regulation of calcium ion transmembrane transporter activity	GO:1901019	36	36	0.40423972	0.97659995	1	GO:1903169|regulation of calcium ion transmembrane transport, 	
regulation of calcium ion transmembrane transport	GO:1903169	36	36	0.40423972	0.97659995	1	GO:1901019|regulation of calcium ion transmembrane transporter activity, 	
regulation of release of sequestered calcium ion into cytosol	GO:0051279	44	44	0.4132376	0.97675542	1		
termination of G-protein coupled receptor signaling pathway	GO:0038032	35	35	0.40274318	0.97675922	1		
cellular response to cAMP	GO:0071320	36	36	0.40404294	0.97682394	1		
regulation of sequestering of triglyceride	GO:0010889	11	11	0.32643926	0.97688762	1		
cellular response to fatty acid	GO:0071398	19	19	0.36787114	0.97691803	1		
tube development	GO:0035295	451	447	0.47238865	0.97695478	1		
positive regulation of fatty acid metabolic process	GO:0045923	23	23	0.37983906	0.97696817	1		
striated muscle cell differentiation	GO:0051146	132	132	0.44961512	0.9770975	1		
glutamine metabolic process	GO:0006541	20	20	0.37085536	0.97721882	1		
response to lipoprotein particle	GO:0055094	10	10	0.31739421	0.97723251	1		
cellular glucose homeostasis	GO:0001678	43	43	0.41165111	0.97747677	1		
cellular response to alcohol	GO:0097306	50	50	0.41797091	0.97758164	1		
regulation of tube size	GO:0035150	66	63	0.42684761	0.97764907	1		
heterotrimeric G-protein complex	GO:0005834	29	29	0.39218374	0.97775555	1		
female sex differentiation	GO:0046660	84	83	0.43614891	0.97778193	1		
regulation of gluconeogenesis	GO:0006111	25	25	0.38373116	0.97790301	1		
cellular response to interferon-gamma	GO:0071346	79	79	0.43447542	0.97792027	1		
glycosyl compound metabolic process	GO:1901657	249	247	0.46273179	0.97797721	1		
regulation of glomerular filtration	GO:0003093	10	10	0.3160646	0.97800777	1		
developmental growth involved in morphogenesis	GO:0060560	76	76	0.43313135	0.97802956	1		
electron transport chain	GO:0022900	86	86	0.43703554	0.97817167	1		
mitochondrial outer membrane	GO:0005741	113	112	0.44477666	0.97818141	1		
cilium assembly	GO:0042384	81	80	0.43467471	0.978259	1		
regulation of response to external stimulus	GO:0032101	476	474	0.47283342	0.97826302	1		
positive regulation of peptide secretion	GO:0002793	53	53	0.41975906	0.97832217	1		
coenzyme biosynthetic process	GO:0009108	78	76	0.43292321	0.97835687	1		
serine family amino acid catabolic process	GO:0009071	11	11	0.32332064	0.97877861	1		
glutamine family amino acid metabolic process	GO:0009064	56	54	0.42011233	0.97883252	1		
circadian rhythm	GO:0007623	66	66	0.42765025	0.97892114	1		
positive regulation of interleukin-6 production	GO:0032755	41	41	0.40812415	0.97908999	1		
immune response-regulating signaling pathway	GO:0002764	339	338	0.46769259	0.97913905	1		
regulation of ion homeostasis	GO:2000021	130	129	0.44799584	0.97922501	1		
